deleted_sample,true_label,confidence_before,confidence_after,confidence_change,entropy_before,entropy_after,entropy_change
GSM1539220,1,0.9176974296569824,0.5860809683799744,-0.33161646127700806,0.28435733914375305,0.6782532334327698,0.3938958942890167
GSM1539112,0,0.9555604457855225,0.8944546580314636,-0.06110578775405884,0.18180523812770844,0.33709925413131714,0.1552940160036087
GSM1539170,0,0.9599822759628296,0.93077152967453,-0.02921074628829956,0.16800051927566528,0.2516386806964874,0.08363816142082214
GSM1539124,0,0.9584541916847229,0.8220665454864502,-0.1363876461982727,0.17282605171203613,0.46824538707733154,0.2954193353652954
GSM1539314,1,0.9440010786056519,0.5598618388175964,-0.3841392397880554,0.21581344306468964,0.6859630346298218,0.47014959156513214
GSM1539389,0,0.8672608137130737,0.7224715352058411,-0.14478927850723267,0.39156079292297363,0.5906038880348206,0.19904309511184692
GSM1539226,1,0.8661824464797974,0.5291549563407898,-0.33702749013900757,0.3935798108577728,0.6914461851119995,0.2978663742542267
GSM1539299,1,0.9324037432670593,0.6700229048728943,-0.26238083839416504,0.24737635254859924,0.634162425994873,0.3867860734462738
GSM1539375,0,0.9305064082145691,0.5589814186096191,-0.37152498960494995,0.2523270845413208,0.6861733198165894,0.43384623527526855
GSM1539218,1,0.8919394016265869,0.8280128240585327,-0.0639265775680542,0.34244123101234436,0.4590231776237488,0.11658194661140442
