method,deleted_sample,affected_shard,time_sec,accuracy,f1,roc_auc,speedup_vs_full_retraining
Original SISA ensemble,GSM1539080,0,0.0,0.7272727272727273,0.6666666666666666,0.8024231127679403,
SISA unlearning,GSM1539080,0,1.3976304531097412,0.7121212121212122,0.6415094339622641,0.8005591798695247,0.175985446821243
Full retraining,GSM1539080,all,0.24596261978149414,0.7121212121212122,0.6885245901639344,0.7958993476234855,1.0
