GeneID,mean_abs_shap
"""ILMN_1776104""",0.6243380593110851
"""ILMN_1784286""",0.453188849787043
"""ILMN_1749834""",0.29753934904472235
"""ILMN_2066060""",0.2788899025371469
"""ILMN_1733559""",0.2538228237711791
"""ILMN_1724533""",0.19581621341659586
"""ILMN_1777378""",0.19343422682892128
"""ILMN_1743145""",0.15788229467964013
"""ILMN_1755537""",0.14922059912699503
"""ILMN_1697499""",0.1455890363889027
"""ILMN_2159694""",0.1448398396000265
"""ILMN_1760062""",0.14173326170091427
"""ILMN_1730454""",0.13896563393290312
"""ILMN_1760315""",0.1308754007146365
"""ILMN_1769277""",0.11410532948487774
"""ILMN_1674069""",0.11376032845842532
"""ILMN_2391861""",0.11202938752287799
"""ILMN_1750507""",0.09086088712875645
"""ILMN_2128128""",0.08903614269705486
"""ILMN_2201580""",0.08659325006129193
"""ILMN_1715169""",0.08510103241404968
"""ILMN_2388547""",0.08300198085700224
"""ILMN_2119945""",0.0795749150879227
"""ILMN_1815895""",0.0781284117052777
"""ILMN_1695585""",0.07671436407976454
"""ILMN_1654875""",0.0739958647204108
"""ILMN_1723912""",0.0682743507409808
"""ILMN_1759155""",0.061662069632237235
"""ILMN_1751258""",0.060426337991000424
"""ILMN_1688580""",0.05801194232259734
"""ILMN_1663142""",0.05787865364147201
"""ILMN_1721113""",0.05734827416524357
"""ILMN_1666471""",0.056111352842843895
"""ILMN_1696839""",0.05349372566721505
"""ILMN_1729487""",0.053394835300546846
"""ILMN_2165753""",0.05330191154759396
"""ILMN_2119937""",0.05244717648560337
"""ILMN_1731233""",0.05118650886719624
"""ILMN_1716733""",0.04754345521689282
"""ILMN_1661631""",0.04541577379833157
"""ILMN_1772809""",0.042994366998594574
"""ILMN_1688423""",0.04251368099311936
"""ILMN_1684255""",0.04191683815417837
"""ILMN_1713266""",0.036908821937888886
"""ILMN_1708323""",0.03082217626021164
"""ILMN_1697377""",0.02903663923591657
"""ILMN_1805750""",0.027367214262428892
"""ILMN_2337241""",0.026280795359958583
"""ILMN_1651358""",0.026199635049748583
"""ILMN_1801216""",0.025704337873886783
"""ILMN_1666078""",0.024989991549418042
"""ILMN_1749984""",0.02370463234065299
"""ILMN_1798189""",0.023426851722317014
"""ILMN_1652955""",0.022797025000608578
"""ILMN_1696512""",0.022410990516046524
"""ILMN_2305544""",0.02231907365899562
"""ILMN_1783142""",0.0217894597546768
"""ILMN_2139943""",0.021228768700736617
"""ILMN_1652431""",0.019585420739522772
"""ILMN_2209027""",0.01953878894012343
"""ILMN_1807919""",0.0191706923536049
"""ILMN_1713458""",0.01815937991874325
"""ILMN_2292178""",0.018098045888351198
"""ILMN_1733581""",0.01795546286271625
"""ILMN_2389590""",0.017824997212093782
"""ILMN_1663416""",0.01758825389584129
"""ILMN_1678522""",0.017195595895615323
"""ILMN_1753347""",0.016570810725392997
"""ILMN_2310703""",0.01632423178776164
"""ILMN_1679920""",0.016302415660110436
"""ILMN_1726647""",0.016112270134813957
"""ILMN_1714765""",0.014873374122163805
"""ILMN_2058782""",0.014246057029920118
"""ILMN_1656292""",0.013998972446025026
"""ILMN_1755808""",0.013124887756323918
"""ILMN_2193213""",0.012871822651198253
"""ILMN_2207539""",0.01238173735955741
"""ILMN_2180866""",0.012185262811368789
"""ILMN_2165289""",0.01216138151361066
"""ILMN_1680652""",0.01186798742834315
"""ILMN_1708016""",0.011345193913506519
"""ILMN_1711729""",0.011322453963367894
"""ILMN_1735712""",0.011144846540544526
"""ILMN_1796678""",0.011019980093905854
"""ILMN_2084825""",0.010900025825280877
"""ILMN_2102721""",0.01089934944045676
"""ILMN_2356284""",0.010489107658803521
"""ILMN_1661174""",0.010238865590640156
"""ILMN_1742410""",0.009894804329153836
"""ILMN_1652073""",0.00978635190775913
"""ILMN_1766165""",0.009627999569541324
"""ILMN_1776519""",0.00952239407569497
"""ILMN_1658283""",0.009465476768020554
"""ILMN_1731546""",0.009429042057606944
"""ILMN_1748915""",0.009405090490987344
"""ILMN_1692223""",0.009341880536382014
"""ILMN_1656625""",0.00917944541762903
"""ILMN_1750636""",0.009013612346446258
"""ILMN_1665823""",0.00883370648568502
"""ILMN_1677697""",0.008603751257282756
"""ILMN_1696584""",0.008602833563652441
"""ILMN_1707695""",0.008444084918528424
"""ILMN_1719032""",0.008378693319709926
"""ILMN_2087060""",0.008181191180945204
"""ILMN_1695187""",0.008068083578113488
"""ILMN_2229242""",0.007910894628155604
"""ILMN_2290808""",0.007796385465494124
"""ILMN_1807710""",0.00777339832755343
"""ILMN_1707783""",0.00766460893227008
"""ILMN_1659405""",0.007096195269027852
"""ILMN_1792455""",0.007056299448098228
"""ILMN_1754195""",0.006721452047126971
"""ILMN_1743046""",0.006473665965089752
"""ILMN_1683562""",0.0064686402915707835
"""ILMN_1737015""",0.006420445019877475
"""ILMN_2079655""",0.00595965649176808
"""ILMN_1774091""",0.005743338644892368
"""ILMN_1706117""",0.005656051205663658
"""ILMN_1683093""",0.005452377576894753
"""ILMN_1657722""",0.004886901618425925
"""ILMN_2175465""",0.004549191461757139
"""ILMN_1693262""",0.004473517934415244
"""ILMN_2207533""",0.004292022008618684
"""ILMN_1725661""",0.004277947548207881
"""ILMN_1712678""",0.004255815683991435
"""ILMN_2383097""",0.004221503740688908
"""ILMN_1667813""",0.003807884314094619
"""ILMN_1664610""",0.0033142177827407133
"""ILMN_1687738""",0.00288932479272587
"""ILMN_1679357""",0.0028553151999427527
"""ILMN_1673638""",0.0024336413956476664
