confidence,entropy,probability_AD,is_member
0.97967666,0.099294774,0.020323317,0
0.91133165,0.29944602,0.08866836,0
0.9002349,0.3245666,0.09976513,0
0.75556177,0.556142,0.75556177,0
0.7473482,0.5652298,0.7473482,0
0.8726201,0.38137552,0.12737992,0
0.61133754,0.668146,0.61133754,0
0.8131994,0.4815504,0.18680061,0
0.66388524,0.6384247,0.33611473,0
0.91658866,0.287023,0.08341135,0
0.77541906,0.53264505,0.22458096,0
0.64890444,0.6481222,0.64890444,0
0.85589194,0.41235125,0.85589194,0
0.81526333,0.47850043,0.81526333,0
0.8663315,0.3933013,0.13366847,0
0.8185184,0.4736327,0.8185184,0
0.87696415,0.37293038,0.12303585,0
0.6550143,0.6442872,0.34498575,0
0.7619887,0.54877675,0.23801132,0
0.5911995,0.676419,0.40880045,0
0.730258,0.5830021,0.269742,0
0.6616974,0.6399032,0.6616974,0
0.5552572,0.68702793,0.5552572,0
0.75823694,0.5531037,0.24176307,0
0.59736395,0.67406607,0.40263605,0
0.58502316,0.6786188,0.41497687,0
0.51519614,0.69268525,0.51519614,0
0.67882466,0.62775224,0.3211753,0
0.7076511,0.6042415,0.7076511,0
0.8626029,0.4002102,0.8626029,0
0.85918045,0.40644842,0.14081953,0
0.98188084,0.090626016,0.018119141,0
0.8681647,0.3898607,0.13183527,0
0.70406157,0.60738355,0.70406157,0
0.84331805,0.43412662,0.15668195,0
0.6628129,0.63915205,0.6628129,0
0.61454123,0.6666733,0.61454123,0
0.7358499,0.5773532,0.7358499,0
0.93731576,0.23429033,0.06268426,0
0.8900072,0.34650025,0.10999278,0
0.9580167,0.17419678,0.04198331,0
0.559499,0.6860501,0.44050097,0
0.8084551,0.48845536,0.8084551,0
0.5400824,0.68993056,0.5400824,0
0.8547426,0.4143936,0.8547426,0
0.81037146,0.48568386,0.18962856,0
0.7989518,0.50185215,0.2010482,0
0.85169655,0.41975492,0.14830345,0
0.9554859,0.18203399,0.044514116,0
0.8850503,0.3567404,0.114949726,0
0.50611067,0.6930725,0.49388936,0
0.9813198,0.09285737,0.018680232,0
0.88554823,0.35572278,0.88554823,0
0.7287595,0.58448875,0.7287595,0
0.7411416,0.5718594,0.25885838,0
0.67690325,0.6291817,0.67690325,0
0.55270034,0.6875822,0.55270034,0
0.83958465,0.44035798,0.16041537,0
0.9506898,0.19647916,0.9506898,0
0.90839446,0.3062368,0.091605544,0
0.67861813,0.6279067,0.67861813,0
0.94451016,0.21437289,0.05548982,0
0.5572423,0.68657947,0.4427577,0
0.8213668,0.46931463,0.17863323,0
0.82384264,0.4655164,0.82384264,0
0.53519815,0.6906673,0.46480185,0
0.60278606,0.6718658,0.60278606,0
0.8473789,0.42722884,0.8473789,0
0.85730326,0.40982884,0.14269675,0
0.50417125,0.6931124,0.49582872,0
0.719404,0.5935154,0.280596,0
0.7041489,0.60730785,0.7041489,0
0.78115505,0.5254421,0.21884494,0
0.7254092,0.5877717,0.7254092,0
0.8822957,0.3623258,0.11770424,0
0.97242844,0.12619658,0.97242844,0
0.7327527,0.5805017,0.26724735,0
0.5824242,0.6794975,0.5824242,0
0.64074343,0.65298927,0.35925657,0
0.8766,0.37364492,0.8766,0
0.54907066,0.68832356,0.54907066,0
0.6962231,0.6140306,0.30377692,0
0.7329518,0.58030075,0.26704818,0
0.74965245,0.56271666,0.74965245,0
0.8685541,0.38912606,0.13144588,0
0.5379932,0.69025743,0.46200684,0
0.58110046,0.6799343,0.41889957,0
0.60294473,0.67179954,0.3970553,0
0.6347304,0.65638995,0.6347304,0
0.8286499,0.4580205,0.17135009,0
0.95316744,0.18908107,0.046832535,0
0.55641425,0.6867684,0.44358578,0
0.6186007,0.664745,0.38139927,0
0.60745215,0.66987413,0.39254785,0
0.70711446,0.60471517,0.2928855,0
0.8044462,0.49417657,0.1955538,0
0.8474623,0.42708585,0.8474623,0
0.9328486,0.24620746,0.9328486,0
0.53450394,0.6907643,0.46549606,0
0.52115476,0.6922519,0.52115476,0
0.743837,0.56900513,0.25616303,0
0.60210526,0.6721488,0.39789474,0
0.6280163,0.66000307,0.6280163,0
0.6614243,0.64008623,0.3385757,0
0.815335,0.47839403,0.18466502,0
0.7500044,0.5623303,0.24999559,0
0.99119276,0.050445806,0.99119276,0
0.9759319,0.113474816,0.02406812,0
0.69133717,0.61802655,0.69133717,0
0.59634334,0.6744665,0.40365666,0
0.78000426,0.52690256,0.21999574,0
0.90979975,0.30300087,0.09020023,0
0.8306997,0.4547751,0.16930033,0
0.6068068,0.67015505,0.6068068,0
0.55619115,0.68681896,0.55619115,0
0.90991694,0.30272996,0.90991694,0
